Team,Abbr,31,32,33,34,35,36,37,38,39,40
Liverpool,LIV,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,BLANK,BLANK
Man City,MCI,BLANK,NOTPLAYED,NOTPLAYED,BLANK,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED
Leicester,LEI,BLANK,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,BLANK
Chelsea,CHE,BLANK,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,BLANK
Man United,MUN,BLANK,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,BLANK
Wolves,WOL,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,BLANK,BLANK
Sheffield United,SHU,BLANK,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED
Tottenham,TOT,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,BLANK,BLANK
Arsenal,ARS,BLANK,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,BLANK
Burnley,BUR,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,BLANK,BLANK
Crystal Palace,CRY,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,BLANK,BLANK
Everton,EVE,BLANK,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,BLANK
Newcastle,NEW,BLANK,NOTPLAYED,NOTPLAYED,BLANK,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED
Southampton,SOU,BLANK,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,BLANK
Brighton,BHA,BLANK,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,BLANK
West Ham,WHU,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,BLANK,BLANK
Watford,WAT,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,BLANK,BLANK
Bournemouth,BOU,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,BLANK,BLANK
Aston Villa,AVL,BLANK,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED
Norwich,NOR,BLANK,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,NOTPLAYED,BLANK
